,previous_cycle_count_IVF,previous_cycle_count_DI,total_previous_pregnancy_count,total_previous_live_birth_count,infertility_tubal_disease,infertility_ovulation_disorder,infertility_male_factor,infertility_patient_unexplained,infertility_endometriosis,stimulation_used,donated_embryo,PGD_treatment,PGS_treatment,single_embro_transfer,fresh_cycle,frozen_cycle,eggs_thawed,fresh_eggs_collected,fresh_eggs_stored,total_eggs_mixed,total_embryos_created,total_embryos_thawed,embryos_transferred,embryos_transferred_eggs_micro_injected,embryos_stored_fore_use_by_patient,days_to_embryo_transfer,year_of_treatment,live_birth_occurance,number_of_live_births,foetal_sacs_fetal_pulsation_count,heart_one_delivery_date,heart_one_congenital_abnormalities,heart_two_delivery_date,heart_two_congenital_abnormalities,heart_three_delivery_date,heart_three_congenital_abnormalities
previous_cycle_count_IVF,1.0,-0.14688901513275684,0.3855403108105154,0.31399535999077444,0.07703197218440147,0.04816247804285762,-0.05857008513132838,0.037356715418027896,0.018311241132837795,-0.2010429984428812,0.0445309623944799,0.02702956776879569,0.06518563580826464,-0.027719319802071738,-0.08440140396128382,0.3538359075093171,0.01745247271962461,-0.07676228780955242,-0.026505780905387084,-0.06338230870132215,-0.04678854863233772,0.2765603385262677,0.21485520491230503,0.05478283135669302,-0.04903835086861657,-0.005901620958894913,0.13034044099156428,-0.0026092508237477814,0.000214194296119326,0.005528665264890373,-0.014542441704177424,-0.0009099205253969321,-0.03850880561127079,,-0.021648448258498973,
previous_cycle_count_DI,-0.14688901513275684,1.0,0.12787288270217262,0.10252736870283168,-0.15703910624002396,-0.10918012799050648,0.24530917086286824,-0.16319657345195243,-0.07903294153079472,-0.14792453583268994,0.017033549092248256,-0.023513367408808293,-0.019350208144429344,-0.10805265521496268,-0.40289843840179707,-0.1303896773958553,-0.0015715264574034536,-0.25050430725113343,-0.020546997848519665,-0.25041072621950844,-0.23232195380673673,-0.10227034749506592,-0.3568170315077256,-0.03493741081410179,-0.11117569681044477,-0.2517815858982557,-0.30631495966299593,-0.08311608096318808,-0.0814687664881461,-0.08815792098742894,0.02330418574446989,-0.010567749121577676,0.01093319572343288,,-0.032386274804963304,
total_previous_pregnancy_count,0.3855403108105154,0.12787288270217262,1.0,0.8239579975234826,-0.011013586371328578,0.004675105116503631,0.020453359123031627,-0.028747347037042847,-0.01459085140805756,-0.16956110859017504,0.007972163951632211,0.006556381415927037,0.023384838463542168,0.015077294748264799,-0.17786386470065152,0.20461471448977028,-0.0019363242116036635,-0.10745074014595933,-0.01827464611507637,-0.10825257666749265,-0.09247376210768399,0.1546835975996467,-0.0005882410965999845,0.028165039086657125,-0.056095640467105676,-0.054918376447721726,0.07115619212388512,0.02726688947367783,0.021836694963779036,0.026171771347718885,-0.006835598625197882,0.004034706397669163,-0.013782960410518814,,-0.024358296090455072,
total_previous_live_birth_count,0.31399535999077444,0.10252736870283168,0.8239579975234826,1.0,-0.016084104311533367,0.001054825983790815,0.02556557647133416,-0.030554996148464828,-0.014576370153970307,-0.1626001464849517,0.0022661709295203987,0.006221929155556727,0.007824794146884986,0.024930735762187285,-0.1708346280903823,0.19967989853473522,-0.0033043343813552615,-0.1002437138113183,-0.015543680469084102,-0.10458855104564281,-0.09091098319478987,0.1559619559854731,-0.011718755241323039,0.03043437663868958,-0.05425553953723148,-0.047793450763288226,0.08490618191924694,0.03244678012684623,0.02646022858630006,0.027180153356470147,-0.006843884671865369,0.004991828298408599,-0.012264332103341491,,-0.042957488206794014,
infertility_tubal_disease,0.07703197218440147,-0.15703910624002396,-0.011013586371328578,-0.016084104311533367,1.0,-0.05664965027101649,-0.1681309063837671,-0.24298083414562593,0.022618957312439802,0.07168104782147687,-0.02390385007448583,-0.026016613698692643,-0.01610530963355777,-0.0359631164789919,0.11925805225473973,0.0431228171960279,-0.013147029346026406,0.07703672692088874,-0.021337527729371083,0.0955273219675635,0.09784759418230131,0.0167492746015888,0.19695595581661557,-0.1817087044629569,0.0474135197127077,-0.021760865059214558,-0.13803706437262417,-0.008797463769545507,-0.0020288894607262604,0.0005067856453558643,0.025984544816083914,0.003725373953165219,0.022593420375892084,,0.029397214184528838,
infertility_ovulation_disorder,0.04816247804285762,-0.10918012799050648,0.004675105116503631,0.001054825983790815,-0.05664965027101649,1.0,-0.08274281650395254,-0.16971550138003466,-0.016005143057586123,-0.011972953509663683,0.012337627899777635,-0.014528700021369842,-0.0007233793276237641,0.038068022575872607,0.06022553050155987,0.06301177980175406,-0.008054544771418974,0.06953552773521957,-0.01373569882075935,0.09170327425449742,0.08165955328697856,0.060651809943114594,0.08372107037128552,-0.03936208800599415,0.06344587234422719,0.046221435951884306,0.03931977743416415,0.03152757807083017,0.03232925555530494,0.03679428691497367,-0.0018962195369368288,0.011041394004790775,0.002559767791338179,,-0.02479618156594515,
infertility_male_factor,-0.05857008513132838,0.24530917086286824,0.020453359123031627,0.02556557647133416,-0.1681309063837671,-0.08274281650395254,1.0,-0.28618065938886783,-0.07284410480866807,-0.026615834569591185,-0.024949365701442978,-0.049662109252639586,-0.028172024610644168,-0.08525857875358661,-0.14219641614273174,-0.07733223319602689,-0.014370027920425478,-0.05339685614305468,-0.042077926966462544,-0.08848754413547139,-0.09148873573957936,-0.08011666273366305,-0.07307590072081623,0.2630611645865663,-0.06090326469106611,-0.16457099172636175,-0.3517089293970147,-0.023797438465653874,-0.01984856296775152,-0.024801626874827745,0.03432705831211407,-0.0026839232959017523,0.026619987131795697,,0.03967141732458173,
infertility_patient_unexplained,0.037356715418027896,-0.16319657345195243,-0.028747347037042847,-0.030554996148464828,-0.24298083414562593,-0.16971550138003466,-0.28618065938886783,1.0,-0.11749895362788372,0.09629991878427206,-0.029037295228383962,-0.028676085125012157,0.019826042188567816,0.028775830819308484,0.16039534710523884,0.03653073937259062,-0.0035007256580341112,0.09373115990106835,-0.022380909861497652,0.10939661116881068,0.08565563895496293,0.008904138323589607,0.15719193065058568,-0.15671227931292556,0.03364791758912985,0.0613384485586532,0.03869001780272059,0.024747117453955532,0.0264299681929844,0.029563664409348295,-0.009393516906827938,0.0019001236637830575,-0.008406314342513462,,0.0243648798113535,
infertility_endometriosis,0.018311241132837795,-0.07903294153079472,-0.01459085140805756,-0.014576370153970307,0.022618957312439802,-0.016005143057586123,-0.07284410480866807,-0.11749895362788372,1.0,0.046470519741077354,-0.01059049103076181,-0.013618446863424366,-0.007150019409381574,0.009506731262945331,0.07461766121069792,0.007586396088718801,-0.005517030827139712,0.022353662594616356,-0.01011631158858059,0.03253658369951168,0.029631399533825636,-0.0015182599871370573,0.07074692235797674,-0.060809369116877496,0.008064525433565242,0.0249707545936987,0.005499426691816214,0.010702488011073017,0.011959824814420072,0.012543176464778743,0.0018189719972536555,-0.002892401853082236,0.004506974183877445,,0.012616299406964791,
stimulation_used,-0.2010429984428812,-0.14792453583268994,-0.16956110859017504,-0.1626001464849517,0.07168104782147687,-0.011972953509663683,-0.026615834569591185,0.09629991878427206,0.046470519741077354,1.0,-0.1056040009408771,-0.02226858615973146,-0.01600208250029544,-0.008192221044712426,0.7535366617677723,-0.6756117558234751,-0.056757006110105174,0.5573614236294595,0.03741296718323563,0.4969123833835969,0.4545541045275397,-0.5123243578556387,0.16175521086388955,0.12191354700646698,0.2000026861094557,0.3810715354176811,0.015649258261492438,0.039078850631415654,0.04970449931862314,0.052645695265887714,0.053061998457909675,0.01012309105114672,0.061762331163478026,,0.06356639256725573,
